Restaurant_MenuItem,Calories,Protein,Carbs,Fat,SaturatedFat,TransFat,Sugars,Sodium,Fiber,VitaminA,VitaminC,VitaminD,Calcium,Iron,Potassium,Cholesterol,Caffeine
Chipotle_Chicken_Burrito,1085,50,95,40,12,0,8,2350,15,600,15,2,200,5,800,95,0
Chipotle_Steak_Bowl,700,35,60,30,10,0,5,1800,12,500,12,1.5,150,4,600,70,0
Chipotle_Veggie_Tacos,600,20,80,18,5,0,6,1500,20,800,25,1,120,3,500,0,0
Chipotle_Churros,340,4,45,16,8,0,24,250,2,50,0,0,60,1.5,100,25,0
Subway_Turkey_Sandwich,280,18,46,3.5,1,0,5,810,5,200,2,0.5,200,2,250,25,0
Subway_Veggie_Delite,230,9,45,3,0.5,0,5,280,5,300,15,0.5,200,2,200,0,0
Subway_Chicken_Teriyaki,370,26,47,5,1.5,0,8,960,5,200,2,1,200,2.5,300,45,0
Subway_Meatball_Marinara,480,20,48,18,8,0,6,1280,5,250,3,0.5,200,3,350,40,0
McDonalds_Big_Mac,550,25,45,33,10,0.5,9,1010,3,200,2,0.5,150,3,300,80,0
McDonalds_Quarter_Pounder,520,26,42,26,12,0.5,10,1110,3,150,1,0.5,200,3.5,350,90,0
McDonalds_Chicken_Nuggets,250,14,15,15,3,0,1,600,1,50,0,0,20,1,200,30,0
McDonalds_Vanilla_Cone,200,5,32,5,3,0,24,95,0,150,0,0.5,120,0,100,20,0
Starbucks_Latte,190,13,18,7,4.5,0,18,170,0,150,0,3,300,0,400,25,150
Starbucks_Cappuccino,120,6,12,4,2.5,0,10,115,0,100,0,3,200,0,250,15,150
Starbucks_Frappuccino,380,5,54,15,9,0,52,150,0,200,0,2,150,0,200,50,90
Starbucks_Muffin,350,6,45,16,3,0,25,350,2,100,0,1,100,2,150,30,0
Starbucks_Croissant,310,7,32,18,10,0,6,400,2,50,0,1,50,1.5,100,40,0
DailyScoop_Vanilla_Cone,240,4,33,11,7,0,24,80,0,200,0,0.5,100,0,150,35,0
DailyScoop_Chocolate_Sundae,330,5,45,15,9,0,38,120,2,150,0,0.5,120,1,200,40,0
DailyScoop_Strawberry_Scoop,140,2,18,7,4,0,16,50,0,100,5,0,60,0,100,20,0
DailyScoop_Cookie_Dough,280,4,32,14,8,0,28,100,1,150,0,0,80,0.5,120,30,0
PizzaHut_Pepperoni_Pizza,290,12,34,11,5,0.2,3,680,2,200,1,0.5,150,1.5,180,25,0
PizzaHut_Cheese_Pizza,250,10,32,9,4.5,0.2,3,580,2,150,1,0.5,200,1,160,20,0
PizzaHut_Veggie_Pizza,270,11,35,10,4,0.1,4,620,3,400,15,0.5,180,2,220,15,0
PizzaHut_Brownie,280,4,38,13,7,0,28,180,2,80,0,0.5,40,2,120,30,0
TacoBell_Crunchwrap,530,20,45,28,10,0.3,4,920,5,300,6,1,200,3,450,35,0
TacoBell_Taco,150,8,15,8,3,0,1,280,2,150,3,0.5,80,1.5,200,20,0
TacoBell_Burrito,380,15,42,16,6,0.2,3,780,4,250,4,1,150,2.5,350,30,0
TacoBell_Cinnamon_Twist,170,2,26,7,2,0,12,190,1,20,0,0,30,1,60,0,0
Dunkin_Coffee,5,0,1,0,0,0,0,10,0,0,0,0,0,0,50,0,140
Dunkin_Donut,240,3,31,12,3,0,12,180,1,50,0,0,30,2,80,0,0
Dunkin_Cheese_Cake,320,6,42,15,9,0,32,280,1,150,0,0.5,100,1,120,45,0
ColdStone_IceCream_Cake,420,6,45,24,15,0,35,160,1,250,0,0.5,150,0.5,180,45,0
ColdStone_Smoothie,280,4,50,6,3,0,40,120,2,300,30,1,200,1,350,15,0
ColdStone_Milkshake,580,12,80,25,15,0,65,280,2,400,8,1.5,350,0.5,450,80,0
