Nutrient,Nmin,Nmax,Description
Calories,300,3500,Minimum/Maximum calories per day (ultra relaxed for budget)
Protein,5,250,Minimum/Maximum grams of protein (ultra relaxed)
Carbs,20,500,Minimum/Maximum grams of carbs (ultra relaxed)
Fat,5,200,Minimum/Maximum grams of fat (ultra relaxed)
SaturatedFat,0,100,Minimum/Maximum grams saturated fat (no minimum)
TransFat,0,20,Minimum/Maximum grams trans fat (no minimum)
Sugars,0,150,Minimum/Maximum grams added sugars (no minimum)
Sodium,0,5000,Minimum/Maximum mg sodium (no minimum - restaurants are high)
Fiber,0,150,Minimum/Maximum grams of fiber (no minimum)
VitaminA,0,15000,Minimum/Maximum mcg RAE vitamin A (no minimum)
VitaminC,0,3000,Minimum/Maximum mg vitamin C (no minimum)
VitaminD,0,300,Minimum/Maximum mcg vitamin D (no minimum)
Calcium,0,6000,Minimum/Maximum mg calcium (no minimum)
Iron,0,150,Minimum/Maximum mg iron (no minimum)
Potassium,0,15000,Minimum/Maximum mg potassium (no minimum)
Cholesterol,0,1500,Minimum/Maximum mg cholesterol (no minimum)
Caffeine,0,1500,Minimum/Maximum mg caffeine (no minimum)
