Food,Base_Satisfaction,Habituation_Rate,Description
Chipotle_Chicken_Burrito,8.5,0.8,"High satisfaction, premium burrito"
Chipotle_Steak_Bowl,9.0,0.7,"Very high satisfaction, premium steak bowl"
Chipotle_Veggie_Tacos,7.5,0.6,"Good satisfaction, healthy option"
Chipotle_Churros,8.5,0.7,"High satisfaction, sweet fried dough dessert"
Subway_Turkey_Sandwich,7.0,0.4,"Moderate satisfaction, healthy sandwich"
Subway_Veggie_Delite,6.5,0.3,"Lower satisfaction, basic veggie option"
Subway_Chicken_Teriyaki,7.5,0.4,"Good satisfaction, flavorful chicken"
Subway_Meatball_Marinara,8.0,0.5,"High satisfaction, classic sub"
McDonalds_Big_Mac,8.0,0.6,"High satisfaction, classic burger"
McDonalds_Quarter_Pounder,7.5,0.5,"Good satisfaction, premium burger"
McDonalds_Chicken_Nuggets,7.0,0.4,"Moderate satisfaction, kid favorite"
McDonalds_Vanilla_Cone,8.0,0.5,"High satisfaction, classic ice cream cone"
Starbucks_Latte,8.0,0.2,"High satisfaction, premium coffee"
Starbucks_Cappuccino,7.5,0.2,"Good satisfaction, classic espresso drink"
Starbucks_Frappuccino,9.0,0.3,"Very high satisfaction, indulgent drink"
Starbucks_Muffin,6.5,0.4,"Moderate satisfaction, sweet pastry"
Starbucks_Croissant,7.0,0.4,"Moderate satisfaction, buttery pastry"
DailyScoop_Vanilla_Cone,8.5,0.7,"High satisfaction, classic treat"
DailyScoop_Chocolate_Sundae,9.0,0.8,"Very high satisfaction, indulgent dessert"
DailyScoop_Strawberry_Scoop,8.0,0.6,"High satisfaction, fruity option"
DailyScoop_Cookie_Dough,9.5,0.9,"Extremely high satisfaction, premium flavor"
PizzaHut_Pepperoni_Pizza,8.0,0.6,"High satisfaction, classic pizza"
PizzaHut_Cheese_Pizza,7.5,0.5,"Good satisfaction, simple cheese pizza"
PizzaHut_Veggie_Pizza,7.0,0.4,"Moderate satisfaction, healthy veggie option"
PizzaHut_Brownie,8.5,0.6,"High satisfaction, rich chocolate dessert"
TacoBell_Crunchwrap,8.5,0.7,"High satisfaction, indulgent wrap"
TacoBell_Taco,7.0,0.4,"Moderate satisfaction, classic taco"
TacoBell_Burrito,8.0,0.6,"High satisfaction, hearty burrito"
TacoBell_Cinnamon_Twist,7.5,0.4,"Good satisfaction, sweet cinnamon dessert"
Dunkin_Coffee,6.0,0.1,"Moderate satisfaction, basic coffee"
Dunkin_Donut,7.5,0.5,"Good satisfaction, sweet pastry"
Dunkin_Cheese_Cake,9.0,0.8,"Very high satisfaction, creamy cheese cake"
ColdStone_IceCream_Cake,9.0,0.9,"Very high satisfaction, premium dessert"
ColdStone_Smoothie,7.0,0.4,"Moderate satisfaction, healthy option"
ColdStone_Milkshake,8.5,0.8,"High satisfaction, classic milkshake"
