Food,Price,Category,Restaurant
Chipotle_Chicken_Burrito,9.50,Main,Chipotle
Chipotle_Steak_Bowl,10.50,Main,Chipotle
Chipotle_Veggie_Tacos,8.00,Main,Chipotle
Chipotle_Churros,4.50,Dessert,Chipotle
Subway_Turkey_Sandwich,6.50,Main,Subway
Subway_Veggie_Delite,5.50,Main,Subway
Subway_Chicken_Teriyaki,7.00,Main,Subway
Subway_Meatball_Marinara,7.50,Main,Subway
McDonalds_Big_Mac,5.99,Main,McDonalds
McDonalds_Quarter_Pounder,5.49,Main,McDonalds
McDonalds_Chicken_Nuggets,4.99,Main,McDonalds
McDonalds_Vanilla_Cone,1.99,Dessert,McDonalds
Starbucks_Latte,5.45,Drink,Starbucks
Starbucks_Cappuccino,4.95,Drink,Starbucks
Starbucks_Frappuccino,5.95,Drink,Starbucks
Starbucks_Muffin,3.25,Side,Starbucks
Starbucks_Croissant,2.95,Side,Starbucks
DailyScoop_Vanilla_Cone,3.50,Side,DailyScoop
DailyScoop_Chocolate_Sundae,4.50,Side,DailyScoop
DailyScoop_Strawberry_Scoop,3.00,Side,DailyScoop
DailyScoop_Cookie_Dough,4.00,Side,DailyScoop
PizzaHut_Pepperoni_Pizza,8.99,Main,PizzaHut
PizzaHut_Cheese_Pizza,7.99,Main,PizzaHut
PizzaHut_Veggie_Pizza,9.49,Main,PizzaHut
PizzaHut_Brownie,3.99,Dessert,PizzaHut
TacoBell_Crunchwrap,4.99,Main,TacoBell
TacoBell_Taco,1.49,Main,TacoBell
TacoBell_Burrito,6.99,Main,TacoBell
TacoBell_Cinnamon_Twist,1.49,Dessert,TacoBell
Dunkin_Coffee,2.25,Drink,Dunkin
Dunkin_Donut,1.29,Side,Dunkin
Dunkin_Cheese_Cake,4.99,Dessert,Dunkin
ColdStone_IceCream_Cake,12.99,Side,ColdStone
ColdStone_Smoothie,5.99,Drink,ColdStone
ColdStone_Milkshake,6.99,Drink,ColdStone
